Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Chaturanga Dandasana,चतुरङ्गदण्डासन,Chaturāṅgadaṇḍāsana,Four-Limbed Staff Pose,Chatur = four; Aṅga = limb; Daṇḍa = staff; Āsana = posture,,,,,,x,Despertar,2,"Calves, wrist flexors, hip flexors, shoulder elevators.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Phalakāsana]], [[Tāḍāsana]].","Wrist flexors, elbow synergists, chest, shoulder stabilizers (emphasis protractors, retractors, adductors and flexors), abdominals, hip flexors, knee extensors, intrinsic foot muscles.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Phalakāsana]], [[Samasthiti]], [[Tāḍāsana]], [[Ūrdhvamukhaśvānāsana]].","Surya Namaskara A and B, Nakrasana, [[Bakāsana B]].","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Bhuja]].",021
Dandasana,दण्डासन​,Daṇḍāsana,Staff Pose,Daṇḍa = staff,yoga cikitsā,Vīrabhadrāsana B,Daṇḍāsana,x,,,,4,"Calves, knee flexors, hip extensors, elbow flexors, shoulder elevators.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","Hip flexors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, transversus abdominis, shoulder synergists (emphasis protractors, retractors, extensors), external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","[[Paścimottānāsana]], hip openers, and twists; [[Pūrvottānāsana]]","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Baddhakoṇāsana B]], [[Sarvāṅgāsana]], [[Śavāsana]].",022
Dhanurasana,धनुरासन​,Dhanurāsana,Bow Pose,Dhanu = bow,nāḍī śodhana,Bhekāsana,Dhanurāsana,x,,x,Apertura,13,"External rotators of the leg, hip flexors, abdominals, chest, shoulder protractors and extensors, internal rotators of the arm, elbow flexors, wrist flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bharmanāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana A]].","Back extensors, hip extensors and adductors, transversus abdominis, shoulder retractors, knee extensors, foot dorsiflexors.","[[Rājakapotāsana]], [[Pūrvottānāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]].","[[Pārśva Dhanurāsana]], [[Bhekāsana]],[[Rājakapotāsana]], [[Uṣṭrāsana]], [[Laghu Vajrāsana]].","[[Bālāsana]], [[Apānāsana]], [[Ardha Matsyendrāsana]], [[Supta Matsyendrāsana]].",023
Dvipada Viparita Dandasana,द्विपादविपरीतदण्डासन,Dvipādaviparītadaṇḍāsana,Two-Legged Inverted Staff Pose,Dvipāda = two-legged; Viparīta = inverted; Daṇḍa = staff,tṛtīya śreṇī,Virañchyāsana B,Dvipādaviparītadaṇḍāsana,x,,,,4,"Shoulder elevators, extensors, and retractors, chest, abdominals, hip flexors, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Gomukhāsana B]], [[Pūrvottānāsana]], [[Ūrdhva Dhanurāsana]], [[Baddhakoṇāsana A]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Vīrabhadrāsana A]].","Wrist flexors, elbow flexors, external rotators of the arm, shoulder stabilizers (emphasis retractors, protractors, flexors), back extensors, transversus abdominis, hip extensors and adductors, intrinsic foot muscles.","[[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Garuḍāsana]], [[Matsyāsana]], [[Piñchamayūrāsana]], [[Śīrṣāsana]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].",Eka Pada variation; walk feet in and transition to [[Piñchamayūrāsana]].,"[[Apānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Ānandabālāsana]], [[Bālāsana]], [[Paścimottānāsana]].",024
Dwi Pada Sirsasana,द्विपादशीर्षासन,Dvipādaśīrṣāsana,Two-Legged Headstand,Dvi = two; Pāda = foot; Śīrṣa = head,nāḍī śodhana,Ekapādaśīrṣāsana,Dvipādaśīrṣāsana,x,,,,13,"Hip adductors and extensors, internal rotators of the leg, back extensors, shoulder retractors and elevators.","[[Ānandabālāsana]], [[Ardhabaddhapadmottānāsana]], [[Ardhabaddhapadmapaścimottānāsana]], [[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Baddhapadmāsana]], [[Bhujapīḍāsana]], [[Ekapādarājakapotāsana]], [[Ekapādaśīrṣāsana]], [[Gomukhāsana B]], [[Karṇapīḍāsana]], [[Kūrmāsana]], [[Mālāsana]], [[Marīchyāsana C]], [[Pādahastāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]], and [[Prasāritapādottānāsana D]], [[Upaviṣṭhakoṇāsana A]], [[Ekapādabakāsana A]]","Hip flexors and adductors, pelvic floor, abdominals, knee flexors, shoulder retractors and adductors.","[[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Ekapādarājakapotāsana]], [[Ekapādaśīrṣāsana]], [[Karṇapīḍāsana]], [[Marīchyāsana A]], [[Padmāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]], and [[Prasāritapādottānāsana D]], [[Ubhayapādāṅguṣṭhāsana]], [[Upaviṣṭhakoṇāsana A]], [[Ūrdhvamukhapaścimottānāsana]], [[Ekapādabakāsana A]].","[[Suptakūrmāsana]], [[Cakorāsana]].","[[Apānāsana]], [[Bālāsana]].",025
Eka Pada Bakasana A,एकपादबकासन A,Ekapādabakāsana A,One-Legged Crane Pose A,Eka = one; Pāda = foot; Baka = crane,tṛtīya śreṇī,Galavāsana,Ekapādabakāsana A,x,,x,Apertura,10,"Wrist flexors, shoulder elevators and flexors, obliques, hip extensors. Folded leg: hip adductors, internal rotators of the leg. Extended leg: knee flexors foot dorsiflexors.","Arkarna [[Daṇḍāsana]], [[Aṣṭavakrāsana]], [[Bakāsana B]], [[Ekapādarājakapotāsana]] Prep poses, [[Galavāsana]], [[Marīchyāsana A]] and C.","Front leg: hip adductors and extensors, internal rotators of the leg, knee synergists. Back leg: internal rotators of the leg, knee flexors. Abdominals, transversus abdominis, chest, shoulder stabilizers (emphasis protractors, flexors), external rotators of the arm, elbow synergists, wrist flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]], [[Vīrabhadrāsana A]].",A peak pose! Transition to [[Chaturāṅgadaṇḍāsana]].,"[[Upaviṣṭhakoṇāsana A]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Bālāsana]], [[Bhuja]]",026
Ekapada Raja Kapotasana,एकपादराजकपोतासन,Ekapādarājakapotāsana,One-Legged King Pigeon Pose,Ekapāda = one-legged; Rāja = king; Kapota = pigeon,tṛtīya śreṇī,Rājakapotāsana,Ekapādarājakapotāsana,x,x,,,"13,4","Front leg: hip adductors and extensors, internal rotators of the leg, knee extensors. Back leg: hip flexors, external rotators of the leg, knee flexors. Abdominals, chest, shoulder extensors, retractors and elevators, neck.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Rājakapotāsana]], [[Garuḍāsana]] arms, [[Gomukhāsana B]], [[Baddhakoṇāsana A]], [[Ekapādabakāsana A]], [[Vīrabhadrāsana A]].","Pelvic floor. Front leg: hip flexors and abductors, knee flexors, foot dorsiflexors. Back leg: hip extensors and adductors, internal rotators of the leg, knee synergists. Transversus abdominis, back extensors, shoulder protractors and flexors, external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Parivṛttapārśvakoṇāsana]], [[Śalabhāsana B]], [[Vīrabhadrāsana A]].",,"[[Vinyāsa]], [[Marīchyāsana]], [[Bālāsana]].",027
Eka Pada Sirsasana A,एकपादशीर्षासन,Ekapādaśīrṣāsana,One-Legged Headstand,Eka = one; Pāda = foot; Śīrṣa = head,nāḍī śodhana,Ardha Matsyendrāsana,Ekapādaśīrṣāsana,x,,,,4,"Grounded leg: hip synergists, external rotators of the leg, knee flexors, calf. Sirsa leg: hip adductors and extensors, internal rotators of the leg. Back extensors, shoulder elevators, chest.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Agnistambhāsana]], [[Ākarṇa Dhanurāsana]], [[Añjanēyāsana]], [[Ardhabaddhapadmottānāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Rājakapotāsana]], [[Gomukhāsana B]], [[Mālāsana]], [[Ekapādabakāsana A]], [[Vīrabhadrāsana A]].","Hip flexors and adductors. Grounded leg: internal rotators of the leg, knee extensors, foot dorsiflexors. Gesture leg: external rotators, knee flexors. Transversus abdominis, back extensors, obliques, shoulder retractors.","[[Ākarṇa Dhanurāsana]], [[Ekapādarājakapotāsana]] Prep, [[Gomukhāsana B]], [[Karṇapīḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Uttānāsana]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]].","[[Cakorāsana]], [[Dvipādaśīrṣāsana]], [[Yoga Nidrāsana]].","[[Vinyāsa]], [[Marīchyāsana]], [[Bālāsana]].",028
Galavasana,गलवासन​,Galavāsana,Sage Galava’s Pose,Named after Sage Galava,tṛtīya śreṇī,Ūrdhvakukkutāsana,Galavāsana,x,,,,10,"Wrist flexors, shoulder elevators, retractors. Folded leg: hip extensors and adductors, internal rotators of the leg. Extended leg: hip flexors, knee flexors.","[[Bakāsana B]] and its Prep poses, [[Ekapādarājakapotāsana]] and its Prep poses, [[Utkaṭāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest abdominals. Grounded leg: external rotators, hip flexors, knee flexors. Extended leg: hip extensors, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Bakāsana B]], [[Ekapādarājakapotāsana]], [[Gomukhāsana B]], [[Padmāsana]].",[[Ekapādabakāsana A]].,"[[Vinyāsa]], [[Bālāsana]], [[Bhuja]], [[Bālāsana]].",029
Garbha Pindasana,गर्भपिण्डासन,Garbhapiṇḍāsana,Embryo in the Womb Pose,Garbha = womb; Piṇḍa = embryo,yoga cikitsā,Suptakūrmāsana,Garbhapiṇḍāsana,x,,,,4,"Hip adductors and extensors, internal rotators of the leg, back extensors, shoulder retractors and elevators.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Pādāṅguṣṭhāsana]], [[Padmāsana]], [[Paścimottānāsana A]], [[Piṇḍāsana]], [[Prasāritapādottānāsana A]] and D, [[Ūrdhvamukhapaścimottānāsana]], [[Uttānāsana]].","Hip flexors, external rotators of the leg, pelvic floor, abdominals, back extensors, knee flexors, shoulder retractors and adductors, elbow flexors.","[[Agnistambhāsana]], [[Baddhakoṇāsana B]], [[Kūrmāsana]], [[Mālāsana]], [[Padmāsana]], [[Prasāritapādottānāsana A]], [[Ubhayapādāṅguṣṭhāsana]], [[Upaviṣṭhakoṇāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Piṇḍāsana]], [[Matsyāsana]].","[[Matsyāsana]] Prep, [[Uttānapādāsana]], [[Śavāsana]].",030
Garudasana,गरुडासन,Garuḍāsana,Eagle Pose,Garuḍa = eagle (mythological bird); Āsana = posture,,,,,,x,Equilibrio,1,"Calf of standing leg, hip extensors, external rotators of the leg, shoulder retractors, extensors, and elevators, internal rotators of the arm.","[[Gomukhāsana B]], [[Tāḍāsana]], [[Utkaṭāsana]], [[Vṛkṣāsana]] [[Bharmanāsana]].","Grounded leg: intrinsic foot muscles. Both legs: knee and hip synergists. Hip adductors, internal rotators of the leg, back extensors, transversus abdominis, shoulder flexors, protractors, adductors, and depressors. Internal rotators of the arm, elbow flexors.","[[Ālāsana]], [[Gomukhāsana B]], [[Tāḍāsana]], [[Utkaṭāsana]], [[Vīrabhadrāsana C]], [[Vṛkṣāsana]].","[[Gomukhāsana B]], [[Mṛgāsana]], [[Vīrabhadrāsana A]].","[[Tāḍāsana]], [[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]].",031
Gomukhasana B,गोमुखासन ब्,Gomukhāsana B,Cow Face Pose B,Go = cow; Mukha = face,nāḍī śodhana,Gomukhāsana A,Gomukhāsana B,x,,,,4,"Hip adductors, extensors, and rotators. Back extensors, shoulder retractors and elevators. Top arm: shoulder and elbow extensors. Bottom arm: shoulder flexors, external rotators of the arm.","[[Ardha Matsyendrāsana]], [[Marīchyāsana C]], [[Parivṛtta Jānuśīrṣāsana]], [[Paścimottānāsana A]], [[Vīrabhadrāsana A]].","Hip flexors and adductors, external rotators of the leg, pelvic floor, transversus abdominis, knee flexors. Lower arm: internal rotators, shoulder extensors. Upper Arm: shoulder flexors, protractors, and adductors, elbow flexors.","[[Ardha Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Jānuśīrṣāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Ekapādarājakapotāsana]], [[Bharadvājāsana]] and [[Mṛgāsana]].","[[Daṇḍāsana]], [[Baddhakoṇāsana B]], [[Upaviṣṭhakoṇāsana A]], [[Adhomukhaśvānāsana]].",032
Halasana,हलासन​,Halāsana,Plow Pose,Hala = plow,samāpana,Sarvāṅgāsana,Karna Pidasana,x,x,x,Entrega,11,"Foot dorsiflexors, knee extensors, hip extensors, back extensors.","[[Daṇḍāsana]], [[Prasāritapādottānāsana C]], [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]].","Shoulder stabilizers (emphasis retractors, adductors, extensors), back extensors, hip extensors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Prasāritapādottānāsana C]] arms, [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]], [[Uttānāsana]].","[[Karṇapīḍāsana]], [[Sarvāṅgāsana]].","[[Uttānapādāsana]], [[Marīchyāsana]], [[Adhomukhaśvānāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",033
Hanumanasana,हनुमानासन​,Hanumānāsana,Hanuman’s Pose,"Named after Hanuman, the monkey god",tṛtīya śreṇī,Suptatrivikramāsana,Hanumānāsana,x,,,,4,"Front leg: calf, knee flexors, hip extensors. Back leg: knee flexors, hip flexors. Abdominals, shoulder retractors, elevators, and extensors, elbow flexors.","[[Añjanēyāsana]], [[Jānuśīrṣāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Vajrāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Vīrabhadrāsana A]].","Pelvic floor, back extensors, transversus abdominis, hip stabilizers (emphasis flexors, adductors, and rear leg hip extensors), internal rotators of the leg, shoulder flexors, protractors, internal rotators and adductors of the arm, elbow extensors.","[[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Ekapādarājakapotāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Vīrabhadrāsana C]].","[[Ekapādarājakapotāsana]], [[Hanumānāsana]] back-bend variation, [[Naṭarājāsana A]]","[[Bālāsana]], [[Ūrdhva Dhanurāsana]].",034
Janu Sirsasana A,जानुशीर्षासन A,Jānuśīrṣāsana A,Head to Knee Pose A,Jānu = knee; Śīrṣa = head,yoga cikitsā,Tryaṅgamukhaikapāda Paścimottānāsana,Jānuśīrṣāsana A,x,x,,Apertura,4,"Extended leg: calf, knee flexors, hip extensors. Folded leg: knee extensors, hip adductors, rotators, and extensors. Back extensors, shoulder retractors and elevators.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Vṛkṣāsana]].","Hip flexors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: external rotators, knee flexors. Transversus abdominis, back extensors, obliques, shoulder depressors.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Prasāritapādottānāsana A]], [[Prasāritapādottānāsana B]] and [[Prasāritapādottānāsana D]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","[[Parivṛtta Jānuśīrṣāsana]], [[Upaviṣṭhakoṇāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]].","[[Apānāsana]], [[Ūrdhva Dhanurāsana]], [[Gomukhāsana B]].",035
Kapotasana A,कपोतासन B,Kapotāsana B,Pigeon Pose,Kapota = pigeon,nāḍī śodhana,Kapotāsana A,Kapotāsana B,x,,x,Apertura,13,"Knee extensors, hip flexors, abdominals, chest, shoulder extensors, elbow extensors.","[[Ekapādarājakapotāsana]], [[Gomukhāsana B]], [[Laghu Vajrāsana]], [[Ūrdhva Dhanurāsana]], [[Uṣṭrāsana]].","Knee extensors, hip adductors and extensors, internal rotators of the leg, back extensors, transversus abdominis, shoulder stabilizers (emphasis retractors/protractors, flexors), external rotators of the arm, elbow extensors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]], [[Baddhakoṇāsana A]] arms, [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Dvipādaviparītadaṇḍāsana]], [[Vīrabhadrāsana A]].","[[Ekapādarājakapotāsana]], [[Naṭarājāsana A]], [[Laghu Vajrāsana]].",Simple twist followed by long forward bends.,036
Kapotasana A,कपोतासन B,Kapotāsana B,Pigeon Pose,Kapota = pigeon,nāḍī śodhana,Kapotāsana A,Kapotāsana B,x,,x,Apertura,13,"Knee flexors, hip flexors, foot dorsiflexors, abdominals, chest, shoulder elevators and flexors, upper back muscles, wrist flexors.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Laghu Vajrāsana]], [[Bhujaṅgāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","Wrist synergists, elbow flexors, external rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, and retractors), neck, transversus abdominis, back extensors, hip adductors and flexors, knee flexors, calves.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].",A peak pose! [[Laghu Vajrāsana]].,"Prone [[Śavāsana]], [[Marīchyāsana]], [[Vinyāsa]], [[Bālāsana]], [[Śavāsana]].",037
Karna Pidasana,कर्णपीडासन​,Karṇapīḍāsana,Ear Pressure Pose,Karṇa = ear; Pīḍa = pressure,samāpana,Halasana,Urdhva Padmasana,x,,x,Entrega,11,"Elbow flexors, shoulder flexors, back extensors, hip extensors.","[[Bālāsana]], [[Daṇḍāsana]], [[Halāsana]], [[Paścimottānāsana A]].","Shoulder stabilizers (emphasis retractors, adductors, extensors), elbow extensors, back extensors, hip flexors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Agnistambhāsana]], [[Halāsana]], [[Marīchyāsana A]], [[Parivṛttotkaṭāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana C]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Ūrdhvapadmāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Piṇḍāsana]], long-held forward bends.","[[Uttānapādāsana]], [[Marīchyāsana]], [[Adhomukhaśvānāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",038
Eka Pada Koundinyasana A,कोउण्डिन्यासन A,Kouṇḍinyāsana A,One-Legged Sage Koundinya’s Pose I,Eka = one; Pāda = foot; Named after Sage Koundinya,tṛtīya śreṇī,Ekapādabakāsana B,Kouṇḍinyāsana A,x,,,,10,"Shoulder elevators, chest, obliques, back extensors, hip extensors, external rotators of the leg, knee flexors.","[[Adhomukhaśvānāsana]], Jathara Parivarttanasana, [[Marīchyāsana C]], [[Pārśvabakāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Uttānāsana]].","Wrist synergists, elbow synergists, rotators of the arm, shoulder stabilizers (emphasis protractors, retractors, adductors, flexors), chest, obliques, abdominals, adductors, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]].",Transition to [[Kouṇḍinyāsana A]] to [[Chaturāṅgadaṇḍāsana]]; add to [[Śīrṣāsana B]] vinyasa.,"[[Bhuja]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Vinyāsa]].",039
Eka Pada Koundinyasana A,कोउण्डिन्यासन A,Kouṇḍinyāsana A,One-Legged Sage Koundinya’s Pose I,Eka = one; Pāda = foot; Named after Sage Koundinya,tṛtīya śreṇī,Ekapādabakāsana B,Kouṇḍinyāsana A,x,,,,10,"Wrist flexors, shoulder elevators, chest, obliques, back extensors. Front leg: hip extensors, external rotators of the leg, knee flexors. Back leg: hip flexors, knee extensors.","[[Ardha Matsyendrāsana]], [[Supta Matsyendrāsana]], Marichyasana B, [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Pārśvabakāsana]], [[Pārśvottānāsana]].","Wrist synergists, elbow synergists, rotators of the arm, shoulder stabilizers (emphasis protractors, retractors, adductors, flexors), chest, obliques, abdominals, knee extensors, foot dorsiflexors. Lower leg: hip flexors and adductors. Upper leg: hip extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Ardha Matsyendrāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]],[[Parivṛttārdhacandrāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Phalakāsana]].","Transition to [[Chaturāṅgadaṇḍāsana]], add to [[Śīrṣāsana B]] vinyasa, [[Kouṇḍinyāsana A]], [[Galavāsana]].","[[Bhuja]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",040
Eka Pada Koundinyasana B,कोउण्डिन्यासन B,Kouṇḍinyāsana B,One-Legged Sage Koundinya’s Pose II,Eka = one; Pāda = foot; Named after Sage Koundinya,tṛtīya śreṇī,Kouṇḍinyāsana A,Kouṇḍinyāsana B,x,,,,10,"Wrist flexors, shoulder elevators, chest, hip adductors. Front leg: hip extensors, internal rotators of the leg, knee flexors. Back leg: hip flexors, knee extensors.","[[Añjanēyāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]], [[Vīrabhadrāsana B]].","Wrist synergists, elbow synergists, rotators of the arm, shoulder stabilizers (emphasis protractors, retractors, adductors, flexors), chest, obliques, abdominals, knee extensors, foot dorsiflexors. Propped leg: hip flexors and adductors. Back leg: hip extensors, knee extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Ardhacandrāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]], [[Marīchyāsana A]], [[Phalakāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vasiṣṭhāsana]], [[Vīrabhadrāsana B]].","Transition to [[Chaturāṅgadaṇḍāsana]], [[Kouṇḍinyāsana A]], [[Kouṇḍinyāsana A]] A, [[Galavāsana]], add to [[Śīrṣāsana B]] vinyasa.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Vinyāsa]], [[Bhuja]].",041
Krounchasana,क्रोउन्चासन​,Krouncāsana,Heron Pose,Krauñca = heron (a bird),nāḍī śodhana,Pāśāsana,Krouncāsana,x,,,,4,"[[Vīrabhadrāsana A]] leg: foot dorsiflexors, knee extensors. Extended leg: hip extensors, knee flexors. Shoulder elevators.","[[Daṇḍāsana]], [[Paścimottānāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Vīrabhadrāsana A]].","Hip flexors and adductors, internal rotators of the leg, back extensors, abdominals, shoulder depressors and flexors. Extended leg: knee extensors, calf.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Marīchyāsana A]], [[Pādahastāsana]], [[Pārśvottānāsana]], [[Paścimottānāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Vīrabhadrāsana A]], [[Ubhayapādāṅguṣṭhāsana]].","Pick up and float back to [[Chaturāṅgadaṇḍāsana]], [[Ekapādaśīrṣāsana]] to [[Cakorāsana]] vinyasa; [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].","[[Vinyāsa]], [[Bālāsana]].",042
Kukkutasana,कुक्कुटासन​,Kukkuṭāsana,Cockerel Pose,Kukkuṭa = rooster,yoga cikitsā,Piṇḍāsana,Kukkuṭāsana,x,,,,10,"Hip adductors and extensors, internal rotators of the leg. Back extensors, chest, shoulder retractors and elevators, elbow flexors.","[[Bakāsana B]], [[Padmāsana]] and its Prep poses.","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest abdominals, hip adductors and flexors, pelvic floor, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garbhapiṇḍāsana]], [[Jānuśīrṣāsana A]], [[Kūrmāsana]], [[Lolasana]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Tiṭṭibhāsana A]], [[Utplutiḥ]], [[Ūrdhvakukkutāsana]], [[Ekapādabakāsana A]].",[[Ūrdhvakukkutāsana]].,"[[Daṇḍāsana]], [[Paścimottānāsana A]], [[Gomukhāsana B]], [[Bālāsana]].",043
