Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Baddha Konasana A,बद्धकोणासन A,Baddhakoṇāsana A,Bound Angle Pose A,Baddha = bound; Koṇa = angle,yoga cikitsā,Kukkuṭāsana,Baddhakoṇāsana A,x,x,,,4,"Calves, knee flexors, hip extensors, shoulder extensors and retractors, internal rotators of the arm.","[[Anāhatāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Uttānāsana]], [[Anāhatāsana]]. For arms and shoulders these respective arm forms: [[Tāḍāsana]], [[Gomukhāsana B]], [[Garuḍāsana]].","Intrinsic foot muscles, internal rotators of the leg, hip flexors and adductors, back extensors, transversus abdominis, shoulder stabilizers (emphasis protractors, flexors), external rotators of the arm, elbow flexors, wrist flexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Phalakāsana]], [[Uttānāsana]].","Other back bends, such as [[Rājakapotāsana]], [[Bhekāsana]], [[Dhanurāsana]], [[Kapotāsana B]], [[Laghu Vajrāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Paścimottānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]].",011
Baddha Konasana B,बद्धकोणासन B,Baddhakoṇāsana B,Bound Angle Pose B,Baddha = bound; Koṇa = angle,yoga cikitsā,Baddhakoṇāsana A,Baddhakoṇāsana B,x,,,,4,"Hip adductors and extensors, internal rotators of the leg. Knee extensors, chest, shoulder elevators.","[[Agnistambhāsana]], [[Ānandabālāsana]], [[Ekapādarājakapotāsana]] Prep, [[Paścimottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Upaviṣṭhakoṇāsana A]].","Pelvic floor, back extensors, transversus abdominis.","[[Ardhottānāsana]], [[Daṇḍāsana]], [[Gomukhāsana B]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Upaviṣṭhakoṇāsana A]].","[[Baddhakoṇāsana B]], [[Jānuśīrṣāsana A]], [[Parivṛtta Jānuśīrṣāsana]], [[Ākarṇa Dhanurāsana]], [[Marīchyāsana A]], [[Padmāsana]].","[[Apānāsana]], [[Bālāsana]], [[Adhomukhaśvānāsana]], [[Gomukhāsana B]].",012
Baddha Konasana B,बद्धकोणासन B,Baddhakoṇāsana B,Bound Angle Pose B,Baddha = bound; Koṇa = angle,yoga cikitsā,Baddhakoṇāsana A,Baddhakoṇāsana B,x,,,,4,"Hip adductors, internal rotators of the leg, abdominals, chest.","[[Baddhakoṇāsana B]] and its Prep poses, [[Suptapādāṅguṣṭhāsana A]], [[Vajrāsana A]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].",The strap and bolster.,In itself a restorative that can be practiced independently or after any practice.,"Practice with a block under the sacrum or along the spine between shoulder blades; place sandbags on the thighs, or bolster along the spine.","[[Apānāsana]], [[Ānandabālāsana]], [[Supta Matsyendrāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",013
Bakasana B,बकासन B,Bakāsana B,Crane Pose B,Baka = crane,nāḍī śodhana,Bakāsana A,Bakāsana B,x,,x,Vitalidad,10,"Wrist flexors, shoulder elevators and retractors, back extensors, hip extensors, ankle dorsiflexors.","[[Bālāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, pelvic floor, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Phalakāsana]].","[[Tiṭṭibhāsana A]], [[Pārśvabakāsana]], [[Kouṇḍinyāsana A]], [[Śīrṣāsana B]] series, transition to pose by hopping from [[Adhomukhaśvānāsana]].","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bhuja]], [[Bālāsana]].",014
Bharadvajasana,भरद्वाजासन​,Bharadvājāsana,Sage Bharadvaja’s Twist,Named after Sage Bharadvaja,nāḍī śodhana,Bakāsana B,Bharadvājāsana,x,x,,,6,"Padma leg: hip adductors, internal rotators of the leg. Vira leg: external rotators of the leg, knee flexors, foot dorsiflexors. Hip extensors, obliques, chest. Bound arm: Shoulder flexors, external rotators of the arm. Shoulder elevators, neck rotators.","[[Bharmanāsana]], [[Gomukhāsana B]] arms, Jathara Parivarttanasana, [[Padmāsana]], [[Parivṛttotkaṭāsana]], [[Vīrabhadrāsana A]].","Pelvic floor, hip flexors, knee flexors, obliques, shoulder extensors.","[[Baddhakoṇāsana B]], [[Garuḍāsana]], [[Mālāsana]], [[Parivṛtta Hasta Pādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Vīrabhadrāsana A]].",[[Bharadvājāsana]].,"[[Daṇḍāsana]], [[Paścimottānāsana A]], [[Apānāsana]], [[Bālāsana]].",015
Bharadvajasana,भरद्वाजासन​,Bharadvājāsana,Sage Bharadvaja’s Twist,Named after Sage Bharadvaja,nāḍī śodhana,Bakāsana B,Bharadvājāsana,x,x,,,6,"Padma leg: hip adductors, internal rotators of the leg. Vira leg: external rotators of the leg, knee flexors, foot dorsiflexors. Hip extensors, obliques, chest. Bound arm: Shoulder flexors, external rotators of the arm. Shoulder elevators, neck rotators.","[[Ardhabaddhapadmottānāsana]] Prep, [[Bharmanāsana]], [[Gomukhāsana B]] arms, Jathara Parivarttanasana, [[Padmāsana]], [[Parivṛttotkaṭāsana]], [[Vīrabhadrāsana A]].","Pelvic floor, hip flexors, knee flexors, obliques, shoulder extensors.","[[Ardha Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Padmāsana]], [[Parivṛtta Hasta Pādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana A]].","[[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Krouncāsana]], [[Ardhabaddhapadmapaścimottānāsana]].","[[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Apānāsana]], [[Bālāsana]].",016
Bharmanasana,भर्मनासन,Bharmanāsana,Table Top Pose,Bharma = support/table ; a stable base posture.,,,,,x,x,Integracion,3,"Wrist flexors. Cat: Back extensors, shoulder extensors and retractors. Dog: Shoulder elevators, chest, abdominals, hip extensors.",In itself an opener for any asana practice.,"Wrist and hip synergists, abdominals, back extensors, chest, shoulder stabilizers (emphasis protractors), elbow extensors.",A warming stabilizer that may precede any asana sequence.,"[[Anāhatāsana]], [[Phalakāsana]], [[Adhomukhaśvānāsana]].","[[Bālāsana]], [[Śavāsana]].",017
Bhekasana,भेकासन​,Bhekāsana,Frog Pose,Bheka = frog,nāḍī śodhana,Śalabhāsana B,Bhekāsana,x,,,,13,"Hip flexors, knee extensors, foot dorsiflexors, abdominals, chest, shoulder elevators and flexors, throat.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Prasāritapādottānāsana C]] arms, [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","Back extensors, transversus abdominis, pelvic floor, shoulders (emphasis flexors, protractors and adductors), neck.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Pūrvottānāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","[[Vajrāsana A]], [[Naṭarājāsana A]], [[Ekapādarājakapotāsana]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Ardha Matsyendrāsana]], [[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]].",018
Bhujapidasana,भुजपीडासन​,Bhujapīḍāsana,Shoulder-Pressing Pose,Bhuja = arm; Pīḍa = pressure,yoga cikitsā,Nāvāsana,Bhujapīḍāsana,x,,,,1,"Wrist flexors, shoulder retractors and elevators, hip extensors, back extensors, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Kūrmāsana]], [[Mālāsana]], [[Ekapādabakāsana A]], [[Prasāritapādottānāsana A]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, pelvic floor, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Bakāsana B]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Prasāritapādottānāsana A]]","[[Tiṭṭibhāsana A]], [[Bakāsana B]], [[Aṣṭavakrāsana]].","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Bhuja]].",019
Balasana,बालासन,Bālāsana,Child’s Pose,Bāla = child; Āsana = posture,,,,,x,x,Integración,3,"Foot dorsiflexors, knee flexors, hip extensors, back extensors.",[[Apānāsana]]. In itself an  and restorative pose.,The floor—somewhat.,A preparatory or restorative to precede or follow any asana and practice.,"Utthita [[Bālāsana]], [[Anāhatāsana]], [[Vīrabhadrāsana A]], Sasangasana.","A deeply restorative pose, [[Śavāsana]].",020
